Orginal_size,Optimized_size,reduce_size
510.91,129.19,381.72
2342.8,185.85,2156.95
3419.01,603.92,2815.09
4260.33,982.25,3278.08
6415.85,1354.13,5061.72
2307.92,503.73,1804.19
2440.74,691.35,1749.39
1502.59,372.63,1129.96
8922.21,1656.94,7265.27
354.66,83.76,270.90
1514.21,191.99,1322.22
730.92,154.97,575.95
3440.03,611.94,2828.09
1849.9,207.25,1642.65
2075.32,433.23,1642.09
2872.1,414.46,2457.64
792.32,99.0,693.32
7865.85,1187.39,6678.46
1099.52,292.15,807.37
3600.29,455.31,3144.98
