Orginal_size,Optimized_size,reduce_size
510.91,654.53,-143.62
2342.8,1942.57,400.23
3419.01,2526.3,892.71
4260.33,2757.6,1502.73
6415.85,3882.85,2533.00
2307.92,859.14,1448.78
2440.74,2544.73,-103.99
1502.59,1106.1,396.49
8922.21,5007.18,3915.03
354.66,422.11,-67.45
1514.21,1169.47,344.74
730.92,641.06,89.86
3440.03,2352.52,1087.51
1849.9,1282.86,567.04
2075.32,1453.77,621.55
2872.1,2342.42,529.68
792.32,638.7,153.62
7865.85,4943.92,2921.93
1099.52,771.69,327.83
3600.29,2116.99,1483.30
