Orginal_size,Optimized_size,reduce_size
510.91,672.65,-161.74
2342.8,1456.2,886.60
3419.01,2388.75,1030.26
4260.33,2803.4,1456.93
6415.85,4106.43,2309.42
2307.92,1626.47,681.45
2440.74,2469.32,-28.58
1502.59,1124.91,377.68
8922.21,4444.51,4477.70
354.66,408.08,-53.42
1514.21,1042.55,471.66
730.92,646.79,84.13
3440.03,2314.43,1125.60
1849.9,1383.38,466.52
2075.32,1445.87,629.45
2872.1,2111.54,760.56
792.32,567.44,224.88
7865.85,4325.04,3540.81
1099.52,765.3,334.22
3600.29,2140.66,1459.63
