Orginal_size,Optimized_size,reduce_size
510.91,363.05,147.86
2342.8,763.18,1579.62
3419.01,1414.11,2004.90
4260.33,1912.36,2347.97
6415.85,2897.73,3518.12
2307.92,1502.41,805.51
2440.74,1406.46,1034.28
1502.59,727.69,774.90
8922.21,4157.47,4764.74
354.66,257.0,97.66
1514.21,605.57,908.64
730.92,460.86,270.06
3440.03,1565.27,1874.76
1849.9,612.08,1237.82
2075.32,1054.85,1020.47
2872.1,980.37,1891.73
792.32,272.66,519.66
7865.85,3392.01,4473.84
1099.52,509.22,590.30
3600.29,1645.4,1954.89
