Orginal_size,Optimized_size,reduce_size
510.91,718.38,-207.47
2342.8,1987.33,355.47
3419.01,2707.04,711.97
4260.33,2931.2,1329.13
6415.85,4209.11,2206.74
2307.92,1772.34,535.58
2440.74,2654.53,-213.79
1502.59,1166.52,336.07
8922.21,5194.2,3728.01
354.66,445.53,-90.87
1514.21,1238.18,276.03
730.92,691.17,39.75
3440.03,2503.72,936.31
1849.9,1585.29,264.61
2075.32,1547.89,527.43
2872.1,2406.19,465.91
792.32,666.91,125.41
7865.85,5037.68,2828.17
1099.52,806.91,292.61
3600.29,2504.91,1095.38
