Orginal_size,Optimized_size,reduce_size
510.91,203.03,307.88
2342.8,343.72,1999.08
3419.01,815.55,2603.46
4260.33,1202.52,3057.81
6415.85,1669.65,4746.20
2307.92,647.14,1660.78
2440.74,903.96,1536.78
1502.59,463.49,1039.10
8922.21,2008.83,6913.38
354.66,143.72,210.94
1514.21,297.25,1216.96
730.92,229.91,501.01
3440.03,809.37,2630.66
1849.9,370.3,1479.60
2075.32,533.99,1541.33
2872.1,665.62,2206.48
792.32,160.73,631.59
7865.85,1586.93,6278.92
1099.52,355.28,744.24
3600.29,669.49,2930.80
